Vuln ID,Summary,CVSS Severity
CVE-2022-23056,"In ERPNext, versions v13.0.0-beta.13 through v13.30.0 are vulnerable to Stored XSS at the Patient History page which allows a low privilege user to conduct an account takeover attack. Published:  June 22, 2022; 4:15:07 AM -0400",V3.1: 5.4 MEDIUM  V2.0: 3.5 LOW
CVE-2021-42744,"Philips MRI 1.5T and MRI 3T Version 5.x.x exposes sensitive information to an actor not explicitly authorized to have access. Published:  November 19, 2021; 2:15:09 PM -0500",V3.1: 5.5 MEDIUM  V2.0: 2.1 LOW
CVE-2021-26262,"Philips MRI 1.5T and MRI 3T Version 5.x.x does not restrict or incorrectly restricts access to a resource from an unauthorized actor. Published:  November 19, 2021; 2:15:08 PM -0500",V3.1: 5.5 MEDIUM  V2.0: 5.0 MEDIUM
CVE-2021-26248,"Philips MRI 1.5T and MRI 3T Version 5.x.x assigns an owner who is outside the intended control sphere to a resource. Published:  November 19, 2021; 2:15:08 PM -0500",V3.1: 5.5 MEDIUM  V2.0: 2.1 LOW
CVE-2021-39376,"Philips Healthcare Tasy Electronic Medical Record (EMR) 3.06 allows SQL injection via the CorCad_F2/executaConsultaEspecifico IE_CORPO_ASSIST or CD_USUARIO_CONVENIO parameter. Published:  August 24, 2021; 9:15:14 AM -0400",V3.1: 8.8 HIGH  V2.0: 6.5 MEDIUM
CVE-2021-39375,"Philips Healthcare Tasy Electronic Medical Record (EMR) 3.06 allows SQL injection via the WAdvancedFilter/getDimensionItemsByCode FilterValue parameter. Published:  August 24, 2021; 9:15:14 AM -0400",V3.1: 8.8 HIGH  V2.0: 6.5 MEDIUM
CVE-2021-37167,"An insecure permissions issue was discovered in HMI3 Control Panel in Swisslog Healthcare Nexus Panel operated by released versions of software before Nexus Software 7.2.5.7. A user logged in using the default credentials can gain root access to the device, which provides permissions for all of the functionality of the device. Published:  August 02, 2021; 9:15:07 AM -0400",V3.1: 9.8 CRITICAL  V2.0: 10.0 HIGH
CVE-2021-37166,"A buffer overflow issue leading to denial of service was discovered in HMI3 Control Panel in Swisslog Healthcare Nexus Panel operated by released versions of software before Nexus Software 7.2.5.7. When HMI3 starts up, it binds a local service to a TCP port on all interfaces of the device, and takes extensive time for the GUI to connect to the TCP socket, allowing the connection to be hijacked by an external attacker. Published:  August 02, 2021; 9:15:07 AM -0400",V3.1: 7.5 HIGH  V2.0: 7.8 HIGH
CVE-2021-37164,"A buffer overflow issue was discovered in HMI3 Control Panel in Swisslog Healthcare Nexus Panel operated by released versions of software before Nexus Software 7.2.5.7. In the tcpTxThread function, the received data is copied to a stack buffer. An off-by-3 condition can occur, resulting in a stack-based buffer overflow. Published:  August 02, 2021; 9:15:07 AM -0400",V3.1: 9.8 CRITICAL  V2.0: 7.5 HIGH
CVE-2021-37163,"An insecure permissions issue was discovered in HMI3 Control Panel in Swisslog Healthcare Nexus operated by released versions of software before Nexus Software 7.2.5.7. The device has two user accounts with passwords that are hardcoded. Published:  August 02, 2021; 9:15:07 AM -0400",V3.1: 9.8 CRITICAL  V2.0: 7.5 HIGH
CVE-2021-37162,"A buffer overflow issue was discovered in HMI3 Control Panel in Swisslog Healthcare Nexus Panel operated by released versions of software before Nexus Software 7.2.5.7. If an attacker sends a malformed UDP message, a buffer underflow occurs, leading to an out-of-bounds copy and possible remote code execution. Published:  August 02, 2021; 9:15:07 AM -0400",V3.1: 9.8 CRITICAL  V2.0: 7.5 HIGH
CVE-2021-37161,"A buffer overflow issue was discovered in the HMI3 Control Panel contained within the Swisslog Healthcare Nexus Panel, operated by released versions of software before Nexus Software 7.2.5.7. A buffer overflow allows an attacker to overwrite an internal queue data structure and can lead to remote code execution. Published:  August 02, 2021; 9:15:07 AM -0400",V3.1: 9.8 CRITICAL  V2.0: 7.5 HIGH
CVE-2021-37160,"A firmware validation issue was discovered in HMI3 Control Panel in Swisslog Healthcare Nexus Panel operated by released versions of software before Nexus Software 7.2.5.7. There is no firmware validation (e.g., cryptographic signature validation) during a File Upload for a firmware update. Published:  August 02, 2021; 9:15:07 AM -0400",V3.1: 9.8 CRITICAL  V2.0: 7.5 HIGH
CVE-2021-37165,"A buffer overflow issue was discovered in HMI3 Control Panel in Swisslog Healthcare Nexus Panel operated by released versions of software before Nexus Software 7.2.5.7. When a message is sent to the HMI TCP socket, it is forwarded to the hmiProcessMsg function through the pendingQ, and may lead to remote code execution. Published:  August 02, 2021; 7:15:11 AM -0400",V3.1: 9.8 CRITICAL  V2.0: 7.5 HIGH
CVE-2021-32104,"A SQL injection vulnerability exists (with user privileges) in interface/forms/eye_mag/save.php in OpenEMR 5.0.2.1. Published:  May 07, 2021; 12:15:07 AM -0400",V3.1: 8.8 HIGH  V2.0: 6.5 MEDIUM
CVE-2021-32103,"A Stored XSS vulnerability in interface/usergroup/usergroup_admin.php in OpenEMR before 5.0.2.1 allows a admin authenticated user to inject arbitrary web script or HTML via the lname parameter. Published:  May 07, 2021; 12:15:07 AM -0400",V3.1: 4.8 MEDIUM  V2.0: 3.5 LOW
CVE-2021-32102,"A SQL injection vulnerability exists (with user privileges) in library/custom_template/ajax_code.php in OpenEMR 5.0.2.1. Published:  May 07, 2021; 12:15:07 AM -0400",V3.1: 8.8 HIGH  V2.0: 6.5 MEDIUM
CVE-2021-32101,"The Patient Portal of OpenEMR 5.0.2.1 is affected by a incorrect access control system in portal/patient/_machine_config.php. To exploit the vulnerability, an unauthenticated attacker can register an account, bypassing the permission check of this portal's API. Then, the attacker can then manipulate and read data of every registered patient. Published:  May 07, 2021; 12:15:07 AM -0400",V3.1: 8.2 HIGH  V2.0: 6.4 MEDIUM
CVE-2020-25179,"GE Healthcare Imaging and Ultrasound Products may allow specific credentials to be exposed during transport over the network. Published:  December 14, 2020; 12:15:12 PM -0500",V3.1: 9.8 CRITICAL  V2.0: 7.5 HIGH
CVE-2020-25175,"GE Healthcare Imaging and Ultrasound Products may allow specific credentials to be exposed during transport over the network. Published:  December 14, 2020; 12:15:12 PM -0500",V3.1: 9.8 CRITICAL  V2.0: 5.0 MEDIUM
Vuln ID,Summary,CVSS Severity
CVE-2020-9417,"The Transaction Insight reporting component of TIBCO Software Inc.'s TIBCO Foresight Archive and Retrieval System, TIBCO Foresight Archive and Retrieval System Healthcare Edition, TIBCO Foresight Operational Monitor, TIBCO Foresight Operational Monitor Healthcare Edition, TIBCO Foresight Transaction Insight, and TIBCO Foresight Transaction Insight Healthcare Edition contains a vulnerability that theoretically allows an authenticated attacker to perform SQL injection. Affected releases are TIBCO Software Inc.'s TIBCO Foresight Archive and Retrieval System: versions 5.1.0 and below, version 5.2.0, TIBCO Foresight Archive and Retrieval System Healthcare Edition: versions 5.1.0 and below, version 5.2.0, TIBCO Foresight Operational Monitor: versions 5.1.0 and below, version 5.2.0, TIBCO Foresight Operational Monitor Healthcare Edition: versions 5.1.0 and below, version 5.2.0, TIBCO Foresight Transaction Insight: versions 5.1.0 and below, version 5.2.0, and TIBCO Foresight Transaction Insight Healthcare Edition: versions 5.1.0 and below, version 5.2.0. Published:  October 20, 2020; 5:15:13 PM -0400",V3.1: 8.8 HIGH  V2.0: 6.5 MEDIUM
CVE-2018-18630,"A vulnerability was found in McKesson Cardiology product 13.x and 14.x. Insecure file permissions in the default installation may allow an attacker with local system access to execute unauthorized arbitrary code. Published:  September 06, 2019; 1:15:11 PM -0400",V3.1: 7.8 HIGH  V2.0: 4.6 MEDIUM
CVE-2019-11687,"An issue was discovered in the DICOM Part 10 File Format in the NEMA DICOM Standard 1995 through 2019b. The preamble of a DICOM file that complies with this specification can contain the header for an executable file, such as Portable Executable (PE) malware. This space is left unspecified so that dual-purpose files can be created. (For example, dual-purpose TIFF/DICOM files are used in digital whole slide imaging for applications in medicine.) To exploit this vulnerability, someone must execute a maliciously crafted file that is encoded in the DICOM Part 10 File Format. PE/DICOM files are executable even with the .dcm file extension. Anti-malware configurations at healthcare facilities often ignore medical imagery. Also, anti-malware tools and business processes could violate regulatory frameworks (such as HIPAA) when processing suspicious DICOM files. Published:  May 02, 2019; 6:29:00 PM -0400",V3.0: 7.8 HIGH  V2.0: 9.3 HIGH
CVE-2018-8856,"Philips e-Alert Unit (non-medical device), Version R2.1 and prior. The software contains hard-coded cryptographic key, which it uses for encryption of internal data. Published:  September 26, 2018; 3:29:03 PM -0400",V3.0: 9.8 CRITICAL  V2.0: 5.0 MEDIUM
CVE-2018-8854,"Philips e-Alert Unit (non-medical device), Version R2.1 and prior. The software does not properly restrict the size or amount of resources requested or influenced by an actor, which can be used to consume more resources than intended. Published:  September 26, 2018; 3:29:03 PM -0400",V3.0: 7.5 HIGH  V2.0: 5.0 MEDIUM
CVE-2018-8852,"Philips e-Alert Unit (non-medical device), Version R2.1 and prior. When authenticating a user or otherwise establishing a new user session, the software gives an attacker the opportunity to steal authenticated sessions without invalidating any existing session identifier. Published:  September 26, 2018; 3:29:02 PM -0400",V3.0: 8.8 HIGH  V2.0: 6.8 MEDIUM
CVE-2018-8850,"Philips e-Alert Unit (non-medical device), Version R2.1 and prior. The software does not validate input properly, allowing an attacker to craft the input in a form that is not expected by the rest of the application. This would lead to parts of the unit receiving unintended input, which may result in altered control flow, arbitrary control of a resource, or arbitrary code execution. Published:  September 26, 2018; 3:29:02 PM -0400",V3.0: 9.8 CRITICAL  V2.0: 7.5 HIGH
CVE-2018-8848,"Philips e-Alert Unit (non-medical device), Version R2.1 and prior. The software, upon installation, sets incorrect permissions for an object that exposes it to an unintended actor. Published:  September 26, 2018; 3:29:01 PM -0400",V3.1: 7.5 HIGH  V2.0: 5.0 MEDIUM
CVE-2018-8846,"Philips e-Alert Unit (non-medical device), Version R2.1 and prior. The software does not neutralize or incorrectly neutralizes user-controllable input before it is placed in output that is used as a web page that is then served to other users. Published:  September 26, 2018; 3:29:01 PM -0400",V3.0: 6.1 MEDIUM  V2.0: 4.3 MEDIUM
CVE-2018-8844,"Philips e-Alert Unit (non-medical device), Version R2.1 and prior. The web application does not, or cannot, sufficiently verify whether a well-formed, valid, consistent request was intentionally provided by the user who submitted the request. Published:  September 26, 2018; 3:29:01 PM -0400",V3.0: 8.8 HIGH  V2.0: 6.8 MEDIUM
CVE-2018-8842,"Philips e-Alert Unit (non-medical device), Version R2.1 and prior. The software transmits sensitive or security-critical data in cleartext in a communication channel that can be sniffed by unauthorized actors. The Philips e-Alert communication channel is not encrypted which could therefore lead to disclosure of personal contact information and application login credentials from within the same subnet. Published:  September 26, 2018; 3:29:00 PM -0400",V3.0: 8.8 HIGH  V2.0: 3.3 LOW
CVE-2018-14803,"Philips e-Alert Unit (non-medical device), Version R2.1 and prior. The Philips e-Alert contains a banner disclosure vulnerability that could allow attackers to obtain extraneous product information, such as OS and software components, via the HTTP response header that is normally not available to the attacker, but might be useful information in an attack. Published:  September 26, 2018; 3:29:00 PM -0400",V3.0: 5.3 MEDIUM  V2.0: 5.0 MEDIUM
CVE-2018-14801,"In Philips PageWriter TC10, TC20, TC30, TC50, TC70 Cardiographs, all versions prior to May 2018, an attacker with both the superuser password and physical access can enter the superuser password that can be used to access and modify all settings on the device, as well as allow the user to reset existing passwords. Published:  August 22, 2018; 2:29:00 PM -0400",V3.0: 6.2 MEDIUM  V2.0: 7.2 HIGH
CVE-2018-14799,"In Philips PageWriter TC10, TC20, TC30, TC50, TC70 Cardiographs, all versions prior to May 2018, the PageWriter device does not sanitize data entered by user. This can lead to buffer overflow or format string vulnerabilities. Published:  August 22, 2018; 2:29:00 PM -0400",V3.0: 3.7 LOW  V2.0: 4.6 MEDIUM
CVE-2018-14789,"In Philips' IntelliSpace Cardiovascular (ISCV) products (ISCV Version 3.1 or prior and Xcelera Version 4.1 or prior), an unquoted search path or element vulnerability has been identified, which may allow an attacker to execute arbitrary code and escalate their level of privileges. Published:  August 22, 2018; 2:29:00 PM -0400",V3.1: 6.7 MEDIUM  V2.0: 4.6 MEDIUM
CVE-2018-14787,"In Philips' IntelliSpace Cardiovascular (ISCV) products (ISCV Version 2.x or prior and Xcelera Version 4.1 or prior), an attacker with escalated privileges could access folders which contain executables where authenticated users have write permissions, and could then execute arbitrary code with local administrative permissions. Published:  August 22, 2018; 2:29:00 PM -0400",V3.1: 7.8 HIGH  V2.0: 4.6 MEDIUM
CVE-2018-8861,"Vulnerabilities within the Philips Brilliance CT kiosk environment (Brilliance 64 version 2.6.2 and prior, Brilliance iCT versions 4.1.6 and prior, Brillance iCT SP versions 3.2.4 and prior, and Brilliance CT Big Bore 2.3.5 and prior) could enable a limited-access kiosk user or an unauthorized attacker to break-out from the containment of the kiosk environment, attain elevated privileges from the underlying Windows OS, and access unauthorized resources from the operating system. Published:  May 04, 2018; 1:29:00 PM -0400",V3.0: 8.7 HIGH  V2.0: 6.8 MEDIUM
CVE-2018-8857,"Philips Brilliance CT software (Brilliance 64 version 2.6.2 and prior, Brilliance iCT versions 4.1.6 and prior, Brillance iCT SP versions 3.2.4 and prior, and Brilliance CT Big Bore 2.3.5 and prior) contains fixed credentials, such as a password or cryptographic key, which it uses for its own inbound authentication, outbound communication to external components, or encryption of internal data. An attacker could compromise these credentials and gain access to the system. Published:  May 04, 2018; 1:29:00 PM -0400",V3.0: 7.8 HIGH  V2.0: 7.2 HIGH
CVE-2018-8853,"Philips Brilliance CT devices operate user functions from within a contained kiosk in a Microsoft Windows operating system. Windows boots by default with elevated Windows privileges, enabling a kiosk application, user, or an attacker to potentially attain unauthorized elevated privileges in Brilliance 64 version 2.6.2 and prior, Brilliance iCT versions 4.1.6 and prior, Brillance iCT SP versions 3.2.4 and prior, and Brilliance CT Big Bore 2.3.5 and prior. Also, attackers may gain access to unauthorized resources from the underlying Windows operating system. Published:  May 04, 2018; 1:29:00 PM -0400",V3.0: 8.8 HIGH  V2.0: 7.2 HIGH
