Breach Submission Date,Country,Covered Entity Type,Individuals Affected,Breach Type,Breache location (Asset),Year
08/19/2022,US,Health Plan,704,Unauthorized Access/Disclosure,Email,2022
08/15/2022,US,Healthcare Provider,27367,Hacking/IT Incident,Network Server,2022
08/14/2022,US,Business Associate,1362296,Unauthorized Access/Disclosure,Electronic Medical Record,2022
08/14/2022,US,Healthcare Provider,1000,Unauthorized Access/Disclosure,Electronic Medical Record,2022
08/14/2022,US,Healthcare Provider,6877,Hacking/IT Incident,Network Server,2022
08/12/2022,US,Healthcare Provider,557,Hacking/IT Incident,Network Server,2022
08/12/2022,US,Health Plan,133714,Hacking/IT Incident,Network Server,2022
08/12/2022,US,Healthcare Provider,11137,Hacking/IT Incident,Network Server,2022
08/12/2022,US,Healthcare Provider,7496,Hacking/IT Incident,Network Server,2022
08/12/2022,US,Business Associate,96814,Hacking/IT Incident,Network Server,2022
08/12/2022,US,Healthcare Provider,1059,Unauthorized Access/Disclosure,Email,2022
08/11/2022,US,Healthcare Provider,59381,Hacking/IT Incident,Network Server,2022
08/09/2022,US,Healthcare Provider,584,Unauthorized Access/Disclosure,Electronic Medical Record,2022
08/08/2022,US,Business Associate,1650,Unauthorized Access/Disclosure,Paper/Films,2022
08/08/2022,US,Healthcare Provider,500,Hacking/IT Incident,Network Server,2022
08/08/2022,US,Healthcare Provider,501,Hacking/IT Incident,Email,2022
08/05/2022,US,Business Associate,500,Hacking/IT Incident,Network Server,2022
08/05/2022,US,Healthcare Provider,4000,Hacking/IT Incident,Email,2022
08/04/2022,US,Healthcare Provider,1700,Hacking/IT Incident,Email,2022
08/04/2022,US,Business Associate,942138,Hacking/IT Incident,Network Server,2022
08/03/2022,US,Healthcare Provider,3307,Hacking/IT Incident,Network Server,2022
08/03/2022,US,Healthcare Provider,1100,Unauthorized Access/Disclosure,Email,2022
08/02/2022,US,Healthcare Provider,31573,Hacking/IT Incident,Network Server,2022
08/02/2022,US,Healthcare Provider,1337,Hacking/IT Incident,Email,2022
08/01/2022,US,Healthcare Provider,2203,Hacking/IT Incident,Email,2022
08/01/2022,US,Healthcare Provider,591,Loss,Other,2022
08/01/2022,US,Healthcare Provider,101541,Hacking/IT Incident,Network Server,2022
07/29/2022,US,Healthcare Provider,1951,Hacking/IT Incident,Email,2022
07/29/2022,US,Healthcare Provider,21114,Hacking/IT Incident,Email,2022
07/29/2022,US,Healthcare Provider,16475,Hacking/IT Incident,Electronic Medical Record,2022
07/29/2022,US,Healthcare Provider,4000,Hacking/IT Incident,Email,2022
07/27/2022,US,Business Associate,1073316,Hacking/IT Incident,Network Server,2022
07/27/2022,US,Healthcare Provider,197507,Hacking/IT Incident,Network Server,2022
07/27/2022,US,Health Plan,326278,Hacking/IT Incident,Network Server,2022
07/26/2022,US,Healthcare Provider,2188,Unauthorized Access/Disclosure,Electronic Medical Record,2022
07/26/2022,US,Business Associate,2787,Hacking/IT Incident,Email,2022
07/26/2022,US,Healthcare Provider,3717,Hacking/IT Incident,Email,2022
07/26/2022,US,Healthcare Provider,500,Hacking/IT Incident,Email,2022
07/26/2022,US,Health Plan,791,Hacking/IT Incident,Network Server,2022
07/25/2022,US,Health Plan,9424,Unauthorized Access/Disclosure,Other,2022
07/25/2022,US,Business Associate,1583,Hacking/IT Incident,Email,2022
07/25/2022,US,Business Associate,3805,Hacking/IT Incident,Network Server,2022
07/25/2022,US,Business Associate,1457,Hacking/IT Incident,Network Server,2022
07/25/2022,US,Healthcare Provider,2400,Hacking/IT Incident,Email,2022
07/25/2022,US,Healthcare Provider,1116,Hacking/IT Incident,Email,2022
07/22/2022,US,Business Associate,5004,Hacking/IT Incident,Network Server,2022
07/22/2022,US,Health Plan,6109,Hacking/IT Incident,Network Server,2022
07/21/2022,US,Business Associate,881,Hacking/IT Incident,Email,2022
